crm_objectid,model,serialnumber,jt_equipid,soldtoid,soldtoname,addcontactid,addcontactname,address1,address2,city,province,postalcode,dealerid,dealername,serviceorgid,serviceorg,primarytechid,backuptechid,accountmgrid,accountmgr,inactive,nocontract,nopm
200000684,MX3140N,35041493,,660896,HILLMOND INVESTMENTS LTD.,41031214,HILLMOND INVESTMENTS LTD.,377 BURNHAMTHORPE RD. E  S# 117,,MISSISSAUGA,ON ,L5A 3Y1   ,147570,SHARP DIRECT CTO,61000193,GTA West,93001092,93000040,GALERN,NANCY GALER,0,0,0
200000689,MX3115N,35038485,,624676,MC NALLY CONSTRUCTION INC.,41031219,MCNALLY CONSRUCTION INC.,M - 100 IISLEY AVE.,,DARTMOUTH,NS ,B3B 1L3   ,645498,SHARP DIRECT HALIFAX,61000209,HFX_ALL,93000311,93000318,GOWERM,MICHAEL GOWER,0,0,0
200000691,MX2640N,35039933,,710049,"BCIMC REALTY CORP., C/O",41031221,BCIMC REALTY CORP C/O QUADREAL PROPERTY,145 KING ST. WEST # 102,,TORONTO,ON ,M5H 1J8   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93001307,93000899,SHAWM,MICHAEL SHAW,0,0,0
200000694,MX5111N,35014794,,623586,MUNICH REINSURANCE COMPANY,41031225,MUNICH REINSURANCE COMPANY,"390 BAY ST. # 2200, 21ST FLOOR",,TORONTO,ON ,M5H 2Y2   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000380,93000899,WINECKS,STIRLING WINECK,0,0,0
200000695,MX5111N,35014584,,623586,MUNICH REINSURANCE COMPANY,41031226,MUNICH REINSURANCE COMPANY,390 BAY ST. # 2200,22nd floor Copy Room,TORONTO,ON ,M5H 2Y2   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000380,93000899,WINECKS,STIRLING WINECK,0,0,0
200000696,MX5111N,35014704,,623586,MUNICH REINSURANCE COMPANY,41031227,MUNICH REINSURANCE COMPANY,"390 BAY ST. # 2200, 23RD FLOOR",,TORONTO,ON ,M5H 2Y2   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000380,93000899,WINECKS,STIRLING WINECK,0,0,0
200000697,MX5111N,35014454,,623586,MUNICH REINSURANCE COMPANY,41031228,MUNICH REINSURANCE COMPANY,"390 BAY ST. # 2200, 23rd  FLOOR",COPY ROOM,TORONTO,ON ,M5H 2Y2   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000380,93000899,WINECKS,STIRLING WINECK,0,0,0
200000699,MX5111N,35014854,,623586,MUNICH REINSURANCE COMPANY,41031229,MUNICH REINSURANCE COMPANY,"390 BAY ST. # 2200,",8TH FLOOR COPY AREA,TORONTO,ON ,M5H 2Y2   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000380,93000899,WINECKS,STIRLING WINECK,0,0,0
200000700,MX5111N,35015014,,623586,MUNICH REINSURANCE COMPANY,41031230,MUNICH REINSURANCE COMPANY,"390 BAY ST. # 2200, 21ST  FLOOR",,TORONTO,ON ,M5H 2Y2   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000380,93000899,WINECKS,STIRLING WINECK,0,0,0
200000702,MX5111N,35014844,,623586,MUNICH REINSURANCE COMPANY,41031231,MUNICH REINSURANCE COMPANY,390 BAY ST. # 2200,22n floor CopyRoom,TORONTO,ON ,M5H 2Y2   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000380,93000899,WINECKS,STIRLING WINECK,0,0,0
200000703,MX5111N,35014174,,623586,MUNICH REINSURANCE COMPANY,41031309,MUNICH REINSURANCE COMPANY,390 BAY ST. # 2200,16 FLOOR COPY AREA,TORONTO,ON ,M5H 2Y2   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000380,93000899,WINECKS,STIRLING WINECK,0,0,0
200000740,MXM260,15052583,,146179,EQUIPEMENT BUREAU DEMERS INC.,41031690,POMERLEAU,500 RUE ST-JACQUES BUR 900,,MONTREAL,QC ,H2Y 0A2   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000904,93000773,ISHOUSE,INTEGRATED SERVICES HOUSE REP,0,1,1
200000741,MX5141N,35073785,,164461,SECL BSD HO SHOWROOM,41031810,SHARP - BSD SHOWROOM,335 BRITANNIA ROAD EAST,,MISSISSAUGA,ON ,L4Z 1W9   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000017,93000195,ISHOUSE,INTEGRATED SERVICES HOUSE REP,0,0,0
200000742,MX7500N,35114468,,674517,SHARP ELECTRONICS OF CANADA,41031854,SHARP BSD SHOWROOM,"150 YORK ST., # 1702",,TORONTO,ON ,M5H 3S5   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000380,93000028,ISHOUSE,INTEGRATED SERVICES HOUSE REP,0,1,1
200000771,ARM455N,55016515R,83102,276129,NIAGARA CATHOLIC DIST. SCHOOL BOARD,41029665,MOTHER TERESA,125 FIRST STREET,MOTHER TERESA,NIAGARA FALLS,ON ,L2R 6P9   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000381,93000382,GOWERM,MICHAEL GOWER,0,0,0
200000772,ARM455N,75052132,,146179,EQUIPEMENT BUREAU DEMERS INC.,41032848,POMERLEAU # CHANTIER AMT,"1830, RUE LE BER",,MONREAL,QC ,H3K 2A4   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000183,93000773,ISHOUSE,INTEGRATED SERVICES HOUSE REP,0,1,1
30793649,ARM450U,26505716,2270,222250,TEKNION LTD.,41000170,TEKNION LIMITED,1150 FLINT ROAD,PRP department,TORONTO,ON ,M3J 2J5   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000402,93000019,ISHOUSE,INTEGRATED SERVICES HOUSE REP,0,1,1
31510697,ARM350U,26510978,398,176337,GLOBAL UPHOLSTERY CO. INC.,41000172,GLOBAL EXPRESS,177A SNIDERCROFT RD.,,CONCORD,ON ,L4K 2J8   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000022,93000027,GAYNORS,SCOTT GAYNOR,0,0,0
40946503,ARM550N,45004715,77551,164461,SECL BSD HO SHOWROOM,41000191,SHARP ELECTRONICS OF CANADA  L,335 BRITANNIA ROAD EAST,SHOWROOM,MISSISSAUGA,ON ,L4Z 1W9   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000017,93000195,ISHOUSE,INTEGRATED SERVICES HOUSE REP,0,0,0
41026480,ARM237,45025385,4534,251982,FINES FORD LINCOLN,41018315,FINES FORD LINCOLN,10 SIMONA DR.,,BOLTON,ON ,L7E 4C7   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000024,93001491,STRUMINP,PERRY STRUMINIKOV,0,0,0
41154975,ARM237,45031207,4622,253075,THE JUNO GROUP LIMITED,41000199,JUNO GROUP,"220 DUNCAN MILL RD, STE 520",,TORONTO,ON ,M3B 3J5   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000025,93000373,ENDACOTL,LINDA ENDACOTT,0,0,0
42093746,ARM550N,45017309,72066,634209,CMR CIRCUITS LTD.,41000214,CMR CIRCUITS LTD.,850 RUE SELKIRK,,POINTE-CLAIRE,QC ,H9R 3S3   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000046,93000904,STAMOULR,RIA STAMOULIS,0,0,0
42578819,ARM455N,55024871,6392,225053,GLOBAL CONTRACT,41000240,GLOBAL CONTRACTING,565 PETROLIA ROAD,2ND FLOOR,TORONTO,ON ,M3J 2X8   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000027,93000024,GAYNORS,SCOTT GAYNOR,0,0,0
43653405,ARM162,55087166,7507,225053,GLOBAL CONTRACT,41000278,VICE VERSA FURNITURE,565 PETROLIA ROAD,,DOWNSVIEW,ON ,M3J 2X8   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000027,93000024,GAYNORS,SCOTT GAYNOR,0,0,0
43835897,ARM162,55009474,7720,265904,TECH HOME LTD.,41000271,TECH HOME LTD.,130 KONRAD CRES.,UNIT 18,MARKHAM,ON ,L3R 0G5   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000672,93000022,GALERN,NANCY GALER,0,0,0
44199689,FO4450,57113555,8408,176337,GLOBAL UPHOLSTERY CO. INC.,41021212,MILESTONE PROPERTY MANAGEMENT,1600 STEELES AVE. WEST,SUITE 200,CONCORD,ON ,L4K 4M2   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000022,93000399,GAYNORS,SCOTT GAYNOR,0,1,1
44253044,ARM455N,55037797,82470,276129,NIAGARA CATHOLIC DIST. SCHOOL BOARD,41000286,ST. ALEXANDER,26 HIGHWAY 20 EAST,ST. ALEXANDER - MAIN OFFICE - MAIN FLR.,FONTHILL,ON ,L0S 1E0   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000381,93000382,GOWERM,MICHAEL GOWER,0,0,0
44463477,ARM700N,55001848,8955,268215,GLOBAL CREDIT & COLLECTION INC,41021221,GLOBAL CREDIT AND COLLECTION,1490 DENISON STREET,,MARKHAM,ON ,L3R 9T7   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000672,93000024,STRUMINP,PERRY STRUMINIKOV,0,0,0
44730372,ARM355N,55048658,81824,276129,NIAGARA CATHOLIC DIST. SCHOOL BOARD,41000292,ST. JOHN SOUTH ADULT ED.,54 JARVIS ST.,ST. JOHN SOUTH ADULT ED.,FORT ERIE,ON ,L2A 2S3   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000381,93000382,GOWERM,MICHAEL GOWER,0,0,0
44769755,ARM277,55012500,70981,631712,KINGSWAYS ARMS,41000291,KINGSWAY ARMS - AURORA,145 MURRAY DRIVE,,AURORA,ON ,L4G 2C7   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000402,93000672,DUPUISE,ERIC DUPUIS,0,0,0
44885001,ARM355N,55009740,9356,269543,MANSIONS OF HUMBERWOOD INC.,41000298,MANSIONS OF HUMBERWOOD INC.,710 HUMBERWOOD BLVD.,SUITE GL1,TORONTO,ON ,M9W 7J5   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000402,93000027,STRUMINP,PERRY STRUMINIKOV,0,1,1
45077030,ARM620N,5500517X,79635,275934,B & M MAILING SERVICES,41000304,B & M MAILING SERVICES,2731 COVENTRY ROAD,,OAKVILLE,ON ,L6H 5V9   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000040,93001092,STRUMINP,PERRY STRUMINIKOV,0,0,0
45145801,ARM277,5504721Y,27657,679160,PORT DOVER HEALTH & FITNESS,41000308,PORT DOVER HEALTH & FITNESS,20 MARKET ST. WEST,,PORT DOVER,ON ,N0A 1N0   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000032,93000038,GOWERM,MICHAEL GOWER,0,0,0
45206185,MX2300N,55018210,9862,270746,ST. AMOUR & ASSC. LTD.,41000314,ST. AMOUR & ASSC. LTD.,660 # 170 Attwell Drive,,TORONTO,ON ,M9W 5Z5   ,147570,SHARP DIRECT CTO,61000192,GTA East,93001321,93001785,ENDACOTL,LINDA ENDACOTT,0,0,0
46210965,ARM277,65006845,10663,276402,TEAM CHRYSLER JEEP DODGE INC,41008739,TEAM CHRYSLER JEEP DODGE INC.,777 BANCROFT DRIVE,,MISSISSAUGA,ON ,L5V 2Y3   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000040,93001092,GALERN,NANCY GALER,0,0,0
46236196,ARM237,65003005,10659,631690,INVIS FINANCIAL GROUP,41008732,INVIS FINANCIAL GROUP,"442 DANFORTH AVE., 2ND FLR.",,TORONTO,ON ,M4K 1P4   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000023,93000380,HANDLIRR,RICHARD HANDLIR,0,1,1
46253137,ARM355N,65025325,10661,276402,TEAM CHRYSLER JEEP DODGE INC,41008744,TEAM CHRYSLER JEEP DODGE INC.,777 BANCROFT DRIVE,SERVICE,MISSISSAUGA,ON ,L5V 2Y3   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000040,93001092,GALERN,NANCY GALER,0,0,0
46265860,FO4450,5710542X,23773,225053,GLOBAL CONTRACT,41010288,GLOBAL CONTRACTING,565 PETROLIA ROAD,FRONT OF PLANT,TORONTO,ON ,M3J 2X8   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000026,93000029,,,0,1,1
46265863,FO4450,5710572X,23772,225053,GLOBAL CONTRACT,41010289,GLOBAL CONTRACTING,565 PETROLIA ROAD,,TORONTO,ON ,M3J 2X8   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000026,93000029,,,0,1,1
46266248,MX4501N,65062804,51738,144633,SHARP DIRECT - OTTAWA,41019783,SHARP DIRECT (OTTAWA),5459 CANOTEK ROAD,UNIT 3 & 4,OTTAWA,ON ,K1J 9M3   ,144633,SHARP DIRECT - OTTAWA,61000175,OTT_ALL,93000044,93000041,,,0,1,1
46586862,AR168S,65084615,24412,278248,HOME ALONE PROPERTY MNGMT.,41008763,HOME ALONE,2131 WILLIAMS PRKW. # 19,,BRAMPTON,ON ,L6S 5Z4   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000029,93000182,WINECKS,STIRLING WINECK,0,1,1
46850735,MX2700N,65004438,24574,279606,HEGGIE GRAPHICS LTD,41000319,HEGGIE GRAPHICS LTD.,78 RIVALDA ROAD,,TORONTO,ON ,M9M 2M8   ,147570,SHARP DIRECT CTO,61000192,GTA East,93001785,93001321,DUPUISE,ERIC DUPUIS,0,0,0
47824288,ARM207,63044275,50058,228028,RYDER LOGISTICS & TRANSPORTATION,41000357,RYDER TRUCK RENTAL CANADA (OTT,2393 STEVENAGE DRIVE,,OTTAWA,ON ,K1G 3W1   ,144633,SHARP DIRECT - OTTAWA,61000175,OTT_ALL,93000043,93000044,GAYNORS,SCOTT GAYNOR,0,1,1
47933414,MX3501N,65018390,26814,164461,SECL BSD HO SHOWROOM,41000362,SHARP ELECTRONICS,335 BRITANNIA ROAD E,HR DEPT.,MISSISSAUGA,ON ,L4Z 1X9   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000017,93000195,ISHOUSE,INTEGRATED SERVICES HOUSE REP,0,0,0
48287652,ARM455N,6505560Y,SD27329,286753,"IKEA DISTRIBUTION SVCS., CA, INC.",41000371,IKEA DISTRIBUTION SERVICES CA INC.,5405 PLACE DE LA COURONNE,,BROSSARD,QC ,J4Z 3R9   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000183,93000773,STRUMINP,PERRY STRUMINIKOV,0,0,0
48508082,FO4470,67101570,28133,613441,BRENNTAG CANADA INC.,41000374,BRENNTAG CANADA,35 VULCAN ST,,REXDALE,ON ,M9W 1L3   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000402,93000399,ENDACOTL,LINDA ENDACOTT,0,1,1
48720149,ARM207,75048631,28351,283214,HARRISON & HARRISON CHARTERED ACCC,41012010,HARRISON & HARRISON CHARTERED,10 BEAMISH DRIVE,,"ISLINGTON, ON",ON ,M9B 3P3   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93001484,93000899,GALERN,NANCY GALER,0,0,0
48892934,MXM350N,75014552,28600,176337,GLOBAL UPHOLSTERY CO. INC.,41000410,GLOBAL UPHOLSTERY LTD.,1240 ALNESS,,DOWNSVIEW,ON ,M3J 2M7   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000027,93000022,GAYNORS,SCOTT GAYNOR,0,0,0
49072379,MX4501N,75021194,77563,144633,SHARP DIRECT - OTTAWA,41021041,SHARP DIRECT (OTTAWA),5459 CANOTEK ROAD,UNIT 3,OTTAWA,ON ,K1J 9M3   ,144633,SHARP DIRECT - OTTAWA,61000175,OTT_ALL,93000044,93000041,,,0,1,1
49155303,ARM207,6509880Y,29522,277237,IKO INDUSTRIES - PLANT,41000449,IKO INDUSTRIES,71 ORENDA ROAD,SECURITY,BRAMPTON,ON ,L6W 1V8   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000673,93000040,GALERN,NANCY GALER,0,0,0
59424478,MXM450N,75076102,29587,600022,GAMBLES ONTARIO PRODUCE INC.,41000432,GAMBLES ONTARIO PRODUCE INC.,302 DWIGHT AVE.,,TORONTO,ON ,M8V 2W7   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93001484,93000899,CHENGK,KENNETH CHENG,0,0,0
59476509,MX3501N,75018204,30781,601276,2010914 ONTARIO INC.,41000438,SPALDING GRAPHIC MEDIA,100 WESTMORE DRIVE,UNIT 20,ETOBICOKE,ON ,M9V 5C3   ,147570,SHARP DIRECT CTO,61000192,GTA East,93001785,93001321,JOHNSONB,BRIAN JOHNSON,0,0,0
59501909,FODC535,77101144,32326,176919,EXTENDICARE (CANADA) INC.,41000447,PARAMED HOME HEALTH CARE - TOR,480 UNIVERSITY AVE.,,TORONTO,ON ,M5G 1V2   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000380,93001393,GAYNORS,SCOTT GAYNOR,0,1,1
59549198,FODC535,77102194,31923,601688,MINISTRY OF GOVERNMENT SERVICES,41013098,MINISTRY OF GOV'T SERVICES,80 WELLINGTON ST,,BRANTFORD,ON ,N3T 2L9   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000038,93000036,RALPHH,HUGH RALPH,0,1,1
59557766,MXM450N,75076282,31930,614762,MULTY HOME LP,41013099,MULTY INDUSTRIES,700 ORMONT DRIVE,,TORONTO,ON ,M9L 1S8   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000402,93000022,STRUMINP,PERRY STRUMINIKOV,0,1,1
59566766,MX2300N,75002174,31926,279864,BURLINGTON HYDRO INC.,41013097,BURLINGTON HYDRO INC.,1340 BRANT ST.,HUMAN RESOURCES,BURLINGTON,ON ,L7R 3Z7   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000894,93000038,GOWERM,MICHAEL GOWER,0,0,0
59595732,ARM257,75022745,32318,601820,SPRUCEWOOD LEASING LTD.,41000457,SPRUCEWOOD LEASING LTD.,3565 KING RD,SUITE 101,KING CITY,ON ,L7B 1M3   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000402,93001785,HANDLIRR,RICHARD HANDLIR,0,0,0
59648374,FODC535,77102184,32309,263288,CITY OF TORONTO (JOHN),41013168,CITY OF TORONTO,FINANCIAL ADMIN,55 JOHN ST.,TORONTO,ON ,M5V 3C6   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000023,93000182,,,0,1,1
59659389,MX2300N,75073306,75073306,630540,SERVICE DE POLICE DE LA VILLE DE,41000464,FORMATION SPVM,2580 BOUL ST JOSEPH EST 2ND FLOOR,,MONTREAL,QC ,H1Y 2A2   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000051,93000050,DEGUIREM,MARCELINE DEGUIRE,0,0,0
59659402,MX3501N,75061546,75061546,630540,SERVICE DE POLICE DE LA VILLE DE,41008791,SAC-SUD,"980, RUE GUY",SECRÉTARIAT SAC,MONTREAL,QC ,H3H 2K3   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000183,93000051,DEGUIREM,MARCELINE DEGUIRE,0,0,0
59659403,MX3501N,75061606,75061606,630540,SERVICE DE POLICE DE LA VILLE DE,41008803,APPROVISIONNEMENT,"5000, RUE D' IBERVILLE, #115",APPROVISIONNEMENT,MONTREAL,QC ,H2H 2S6   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000051,93000213,DEGUIREM,MARCELINE DEGUIRE,0,1,1
59931882,MXM450N,75036623,54572,275877,ART GALLERY OF ONTARIO,41008812,ART GALLERY OF ONTARIO,317 DUNDAS STREET WEST,VISITOR EXPERIENCE,TORONTO,ON ,M5T 1G4   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000899,93001307,RINALDOF,FRANCO RINALDO,0,0,0
60125147,ARM162,73050823,33049,603701,ARROW FURNITURE,41008807,ARROW FURNITURE,35 ARROW ROAD,,WESTON,ON ,M9M 2L4   ,147570,SHARP DIRECT CTO,61000192,GTA East,93001785,93001321,HANDLIRR,RICHARD HANDLIR,0,0,0
60129270,FODC535,77100195,33053,277959,BUNZL CANADA INC.,41008809,BUNZL CANADA INC.,"4240 HARVESTER RD., # 3 Finance",,BURLINGTON,ON ,L7L 0E8   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000037,93000036,GOWERM,MICHAEL GOWER,0,1,1
60191838,ARM257,75022085,33054,611461,MARKHAM GARDENS - SHARED FACILITY,41008820,MARKHAM GARDENS - SHARED FACILITY,"29 ROSEBANK DR., SITE OFFICE",,TORONTO,ON ,M1B 5Y7   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000024,93000025,THERIAULTK,KEVIN THERIAULT,0,1,1
60474346,FODC535,77102988,79411,637766,TRANSPORT FUEL INC.,41008826,TRANSPORT FUEL INC.,2480 RUE SENKUS,,MONTREAL,QC ,H8N 2X9   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000183,93000046,LAFLEURB,BERTRAND LAFLEUR,0,1,1
61263520,MX2300N,75068490,75068490,616096,VILLE DE MONTREAL SVCS DES FINANCES,41000484,Bibliotheque du Vieux Saint Laurent,"1390 RUE, DE L'EGLISE",Ville St-Laurent/Mairie,ST. LAURENT,QC ,H4M 2M7   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000049,93000183,DEGUIREM,MARCELINE DEGUIRE,0,0,0
61263521,MX2300N,75069170,75069170,616096,VILLE DE MONTREAL SVCS DES FINANCES,41000482,VILLE DE MONTREAL,"1380, RUE DE L'EGLISE",Ville St-Laurent/Bibliothèque,MONTREAL,QC ,H4L 2H2   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000049,93000183,DEGUIREM,MARCELINE DEGUIRE,0,0,0
61398027,ARM317,75046649,35344,288248,ALCOA LTEE,41000487,HOWMET CANADA COMPANY,"93 MOUNTAIN VIEW RD., NORTH",,GEORGE TOWN,ON ,L7G 4J6   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000040,93000673,GAYNORS,SCOTT GAYNOR,0,0,0
61598499,FODC635,77100317,55228,618711,ICC IMAGINE COMMUNS. CDA. LTD.,41000494,HARRIS CANADA INC,25 DYAS ROAD,,TORONTO,ON ,M3B 1V7   ,147570,SHARP DIRECT CTO,61000445,GTA Central,93000025,93000373,THERIAULTK,KEVIN THERIAULT,0,1,1
62267988,MX2300N,85067672,38478,609099,APEX RESULTS REALTY INC.,41008538,APEX RESULTS REALTY INC.,609 UPPER WELLINGTON ST.,,HAMILTON,ON ,L9A 3P8   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000038,93000894,GOWERM,MICHAEL GOWER,0,0,0
62477307,MX2300N,85067882,71557,634575,TEAM TUBE (LAVAL),41008550,TEAM TUBE (LAVAL),1970 LE CHATELIER,,LAVAL,QC ,H7L 5B4   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000050,93000046,ACQUARIOS,SALVATORE ACQUARIO,0,0,0
62556423,MXM450N,85051052,73106,755475,AM-CAM ELECTROMENAGERS INC.,41008551,AM-CAM ELECTROMENAGERS INC,6783 LEGER,,MONTREAL,QC ,H1G 6H8   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000050,93000051,ACQUARIOS,SALVATORE ACQUARIO,0,0,0
62767183,MXM450N,85051072,41957,610759,MELVYN D. EISEN,41008556,MELVYN D. EISEN,70 BOND STREET,STE 200,TORONTO,ON ,M5B 1X3   ,147570,SHARP DIRECT CTO,61000192,GTA East,93000023,93000028,SHAWM,MICHAEL SHAW,0,1,1
62783216,MX3501N,85079651,41953,607344,MOHAWK COLLEGE,41008568,MOHAWK COLLEGE,135 FENNELL AVE. WEST,RM. A124,HAMILTON,ON ,L9C 1E9   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000038,93000894,GOWERM,MICHAEL GOWER,0,0,0
